date,year,year_month,ktemp,altitude_bin
2014-01-12,2014,2014-01,122.465965,98
2014-02-18,2014,2014-02,131.02571,98
2014-03-27,2014,2014-03,119.493996,96
2014-04-23,2014,2014-04,121.99994,104
2014-05-14,2014,2014-05,110.862144,95
2014-06-09,2014,2014-06,124.60809,101
2014-07-03,2014,2014-07,119.38509,100
2014-08-05,2014,2014-08,135.19876,101
2014-09-28,2014,2014-09,125.91862,99
2014-10-05,2014,2014-10,127.30161,99
2014-11-04,2014,2014-11,124.66266,98
2014-12-17,2014,2014-12,130.82083,96
2015-01-13,2015,2015-01,129.22305,85
2015-02-03,2015,2015-02,136.57437,91
2015-03-25,2015,2015-03,120.95636,96
2015-04-22,2015,2015-04,128.84317,102
2015-05-30,2015,2015-05,128.20499,99
2015-06-16,2015,2015-06,122.17192,97
2015-07-02,2015,2015-07,127.08057,95
2015-08-12,2015,2015-08,125.71765,101
2015-09-29,2015,2015-09,132.34937,101
2015-10-11,2015,2015-10,132.31522,94
2015-11-26,2015,2015-11,127.520065,100
2015-12-17,2015,2015-12,127.91299,92
2016-01-06,2016,2016-01,131.47295,101
2016-02-10,2016,2016-02,136.29817,98
2016-03-29,2016,2016-03,108.66539,96
2016-04-12,2016,2016-04,120.81557,98
2016-05-11,2016,2016-05,118.65288,80
2016-06-27,2016,2016-06,131.95445,100
2016-07-15,2016,2016-07,119.25478,92
2016-08-13,2016,2016-08,131.97197,102
2016-09-22,2016,2016-09,126.59812,100
2016-10-18,2016,2016-10,116.327194,103
2016-11-25,2016,2016-11,133.36711,94
2016-12-01,2016,2016-12,132.30609,97
2017-01-30,2017,2017-01,126.87451,97
2017-02-18,2017,2017-02,130.43181,98
2017-03-04,2017,2017-03,120.13994,99
2017-04-17,2017,2017-04,122.51538,100
2017-05-21,2017,2017-05,124.82322,96
2017-06-24,2017,2017-06,127.89226,103
2017-07-28,2017,2017-07,137.89835,103
2017-08-08,2017,2017-08,112.9579,96
2017-09-09,2017,2017-09,133.20804,100
2017-10-04,2017,2017-10,112.77429,98
2017-11-22,2017,2017-11,135.86426,98
2017-12-04,2017,2017-12,121.27025,94
2018-01-07,2018,2018-01,117.697044,100
2018-02-14,2018,2018-02,129.50897,102
2018-03-20,2018,2018-03,118.403244,99
2018-04-01,2018,2018-04,124.34579,101
2018-05-20,2018,2018-05,116.84475,95
2018-06-04,2018,2018-06,121.68732,99
2018-07-02,2018,2018-07,111.91785,95
2018-08-17,2018,2018-08,122.624,94
2018-09-21,2018,2018-09,131.31381,100
2018-10-11,2018,2018-10,123.770836,92
2018-11-11,2018,2018-11,126.93723,80
2018-12-07,2018,2018-12,122.35852,100
2019-01-07,2019,2019-01,116.77036,101
2019-02-19,2019,2019-02,129.4092,99
2019-03-25,2019,2019-03,112.574936,95
2019-04-01,2019,2019-04,126.44686,98
2019-05-11,2019,2019-05,125.715454,96
2019-06-05,2019,2019-06,122.48,101
2019-07-27,2019,2019-07,124.70748,101
2019-08-21,2019,2019-08,144.02557,98
2019-09-25,2019,2019-09,122.03489,101
2019-10-19,2019,2019-10,115.943214,101
2019-11-15,2019,2019-11,123.23617,96
2019-12-31,2019,2019-12,119.54734,96
2020-01-19,2020,2020-01,129.17001,92
2020-02-21,2020,2020-02,138.54037,100
2020-03-18,2020,2020-03,129.07698,94
2020-04-08,2020,2020-04,122.05104,80
2020-05-06,2020,2020-05,117.97838,99
2020-06-16,2020,2020-06,130.9641,98
2020-07-14,2020,2020-07,127.519394,99
2020-08-28,2020,2020-08,135.18112,101
2020-09-09,2020,2020-09,118.17656,98
2020-10-10,2020,2020-10,128.10655,101
2020-11-19,2020,2020-11,131.27324,98
2020-12-31,2020,2020-12,136.95354,95
2021-01-27,2021,2021-01,138.66644,95
2021-02-20,2021,2021-02,134.15186,100
2021-03-28,2021,2021-03,124.2477,101
2021-04-03,2021,2021-04,136.45015,98
2021-05-21,2021,2021-05,125.81978,94
2021-06-22,2021,2021-06,124.97715,98
2021-07-25,2021,2021-07,120.73672,101
2021-08-31,2021,2021-08,139.56308,99
2021-09-08,2021,2021-09,132.26031,102
2021-10-01,2021,2021-10,129.07939,97
2021-11-26,2021,2021-11,121.61987,102
2021-12-22,2021,2021-12,122.79653,104
2022-01-19,2022,2022-01,131.9191,97
2022-02-01,2022,2022-02,121.25505,92
2022-03-21,2022,2022-03,115.315895,99
2022-04-29,2022,2022-04,117.79362,82
2022-05-29,2022,2022-05,119.55339,99
2022-06-11,2022,2022-06,139.15279,99
2022-07-31,2022,2022-07,109.522545,99
2022-08-21,2022,2022-08,112.95046,99
2022-09-09,2022,2022-09,126.954,100
2022-10-09,2022,2022-10,134.265,102
2022-11-10,2022,2022-11,123.69496,96
2022-12-28,2022,2022-12,123.91018,91
2023-01-21,2023,2023-01,127.418724,89
2023-02-01,2023,2023-02,137.3498,95
2023-03-19,2023,2023-03,118.73826,99
2023-04-22,2023,2023-04,119.826355,96
2023-05-01,2023,2023-05,127.54861,97
2023-06-09,2023,2023-06,115.80481,97
2023-07-06,2023,2023-07,116.484726,94
2023-08-31,2023,2023-08,126.77305,102
2023-09-02,2023,2023-09,122.208786,101
2023-10-30,2023,2023-10,135.70032,97
2023-11-27,2023,2023-11,111.55977,100
2023-12-22,2023,2023-12,126.61485,99
2024-01-30,2024,2024-01,135.56331,97
2024-02-09,2024,2024-02,136.78323,91
2024-03-31,2024,2024-03,119.95449,98
2024-04-21,2024,2024-04,121.910255,96
2024-05-15,2024,2024-05,130.55185,95
2024-06-06,2024,2024-06,122.88894,99
2024-07-09,2024,2024-07,115.04067,102
2024-08-28,2024,2024-08,128.31343,98
2024-09-28,2024,2024-09,124.526024,101
2024-10-01,2024,2024-10,130.81584,103
2024-11-30,2024,2024-11,132.0638,97
2024-12-22,2024,2024-12,122.55996,92
